"Resource Code","Resource Name","Administrators","Staff Member - 1","Cybercom Team","Staff Member - 2","Salesman - Leor","Staff Member - 3","Salesman - 1","Staff Member Kirill","Data Team","Gabe data ","Staff Member Vera","tv","UI designer","Wiser Team","HR Jon","Salesman Allan ","Staff member Eugene","Tax Report","Staff Member - Hillel","Salesman - Ted","Staff Member - Brent","Salesman - Albert","Salesman - Elliot","Salesman- Eddy","Staff Member - dmitryS","Cybercom Catalog Update Only","Staff Member - Ron","Staff Member - 1 - irene","Salesman - 1 - leran","Staff Member - joan","Cybercom Team 2","Staff Member - tairet","Staff Member - 1 - Sid, BillM, GaryS, Neilk","Salesman - justin","Staff Member - 2 - Eugene","Salesman - Azi ","Phil","Staff Member - 1 - Valerie","Staff Member - Saidy","Administrator_Dashboard","Staff Member - Shibvon ","Staff Member - 	Marleny","Staff Member Kishan","leran_staffmember","manger4147"
"admin/system/config","Configuration","deny","deny","allow","deny","deny","deny","allow","deny","deny","deny","allow","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/general","General Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/web","Web Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/design","Design Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/system","System Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/advanced","Advanced Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/trans_email","Store Email Addresses Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/dev","Developer Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/currency","Currency Setup Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/sendfriend","Email to a Friend","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/admin","Advanced Admin Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/customer","Customers Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/cms","Content Management","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/catalog","Catalog Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/payment","Payment Methods Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/payment_services","Payment Services","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/sales","Sales Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/sales_email","Sales Emails Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/sales_pdf","PDF Print-outs","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/promo","Shopping Cart Price Rules","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/shipping","Shipping Settings Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/carriers","Shipping Methods Section","deny","deny","allow","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/checkout","Checkout Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/paypal","PayPal Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/reports","Reports","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/google","Google API","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/tax","Tax Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/wishlist","Wishlist Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/contacts","Contacts Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/sitemap","Google Sitemap Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/rss","RSS Feeds Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/api","Magento Core API Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/oauth","OAuth","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/newsletter","Newsletter Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/downloadable","Downloadable Product Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/persistent","Persistent Shopping Cart","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/user","User","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/affirmpromo","Affirm Promo Settings","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/ambase","Amasty - Extensions Information","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/amstore","Amasty - Extensions Store","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/amseotoolkit","SEO ToolKit","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/amseogooglesitemap","XML Google Sitemap","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/amshopby","Improved Navigation","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/braintree_payments","Braintree Payments","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/pixel","Channel Advisor - All","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/fbpixel","Facebook Pixel","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/advancedreviews","Advanced Reviews","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/deliveright_review_email","Deliveright","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/generatereviews","Generate Reviews","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/generatereviews/reviews","Generate Reviews","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/generatereviews/formats","Manage Formats","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/generatereviews/import_review","Import Review","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/giftcards","Gift Cards","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/manufacturer","Manufacturer","deny","deny","allow","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/split_settings","Split Settings","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/flight_of_stairs_settings","Flight of Stairs","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/settings","settings","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/opc","IWD One Page Checkout","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/ekomitab","Ekomi Integration Settings","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/foomancommon","Fooman","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/alertsystem","Alert System","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/claim_system","Claim System","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/claim_system/donotshow_orderview_customer_service_tab","Do Not Show Order view Customer Service Tab","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/ediryder","EdI Ryder","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/fedex","FedEx","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/fmailchimp_filters","General Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/salesman","Salesman","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/shoptelligence_ftp","General Section","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/syt_ftp","General Section","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/twillio","Scheduled Sms","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/wgapi","White Glove API System","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/mageworx_geoip","MageWorx > Customers","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
"admin/system/config/mageworx_geoip/geoip","GeoIP Database","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","allow","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny","deny"
