"name","id","numeric_code","address","city","state","zipcode","phone"
"RLM -  Edc Moving Dallas","61","13","1232 Crowley Dr","Carrollton","TX","75006","4-972-245-6799"
"RLM - Buffalo Courier Services","62","49","786 Terrace Blvd","Depew ","NY","14043","4-716-328-4696"
"RLM - Deliveright Mass","63","55","725 Main Street","Millis","MA","02054","4-862-279-7332"
"RLM - Signature Designer Services MN","64","17","1940 Fernbrook Lane N, Dock 6","Plymouth","MN","55447","4-763-951-3837"
"RLM -  Kings Moving & Storage Wichita","66","45","2111 INDUSTRIAL ST","Wichita","KS","67216","4-316-524-9191"
"RLM - FINKBINER TRANSFER & STORAGE","67","56","2215 N. Burton","Springfield","MO","65803","4-417-866-1690"
"RLM - John Ferguson Movers","68","24","50 Walter Jones Blvd Suite 4","El Paso","TX","79906","4-915-373-9202"
"RLM - PITTSBURG WHITE GLOVE","74","25","716 Seco Road","Monroeville","PA","15146","4-412-315-5161"
"RLM - Redman Moving Billings","75","79","7232 Grand Avenue","Billings","MT","59106","4-406-252-5612"
"RLM -","76","100","","","","",""
"RLM - Ship with MURROWS","77","","","","","",""
"RLM - Deliveright California North","78","87","2710 McCone Ave","Hayward","CA","94545","4-862-279-7332"
"RLM -  Deliveright California South","79","88","8675 Rochester Ave.","Rancho Cucamonga","CA","91730","4-888-410-4484"
"RLM -  Deliveright Florida","80","89","2044 NW 25th Ave","Pompano Beach","FL","33069","862-279-7334"
"RLM - Lexington Logistics, LLC","81","","2901 Richmond Road STE 130-319","Lexington,","KY","40509","4-859-263-8265"
"RLM - Deliveright Houston","82","18","9500 W Sam Houston Pkwy S, Ste 200","Houston","TX","77099","4-862-279-7332"
"RLM - Clarks White Glove TN","83","36","8040 CentrePointe Way","La Vergne","TN","37086","4-615-724-6444"
"RLM - Clarks White Glove TN","84","36","8040 CentrePointe Way","La Vergne","TN","37086","4-615-724-6444"
"RLM - IDS","85","1212","5520 W. Maricopa St, Suite 102","Phoenix","AZ","85043","909-628-7737"
"RLM - IDS","86","1212","5520 W. Maricopa St, Suite 102","Phoenix","AZ","85043","909-628-7737"
"RLM - Deliveright SC","87","68","200 Pate Dr suite C","Greenville","SC","29609","4-862-279-7332"
"RLM - Deliveright Syracuse","88","39","6412 Deere Road","Syracuse","NY","13206","4-862-279-7332"
"RLM - Clarks Grand Rapids MI","89","21","7458 Expressway Dr Suite D","Grand Rapids","MI","49548","4-616-773-2000"
"RLM - Styline","90","7","North carolina terminal, 1264 Jackson lake road","HIGH POINT","","27263","336-822-8112"
"RLM - Deliveright Utah","91","10","426 E 1750 N, Unit E","Vineyard","UT","84057","4-862-279-7332"
"RLM - Deliveright Washington","92","49","8920 Orion Dr NE, Ste A","Lacey","WA","98516","4-862-279-7332"
"RLM - Deliveright Mississippi","93","71","157 Plant Rd, Ste B","Tupelo","MS","38804","4-862-279-7332"
"RLM - Deliveright Virginia","94","15","1 Harkness Blvd","Fredericksburg","VA","22401","4-862-279-7332"
"RLM - Deliveright IL","95","90","601A W. Campus Drive","Arlington Heights","IL","60004","4-847-259-5872"
"RLM - UCCD-PAYL–10.","96","","6348 Burnt Poplar Rd, Suite AGreensboro, NC 27409","","","",""
"RLM - House","97","","","","","",""
"RLM - UPS","98","","Check UPS Online For Locations ","","","","https://www.ups.com/track?loc=en_US&requester=WT/"
"RLM - AWEST PAYL146A","99","","3401 Etiwanda Ave. Bld. 1011Sections A,B,CMira Loma, CA 91752","","","","http://www.awest.com/"
"RLM - Sunbelt","100","","""IL – IN – KY – MI – OH – TN – WI – WV (247-48,250-53,255-61)Debi Orlandi   dorlandi@sbfx.com         828-485-4130Susan Hollar    shollar@sbfx.com           828-485-4148AR – CO – KS – LA – MO – OK – TXBernice Harvey   bharvey@sbfx.com      828-485-4163Carol Watson      cwatson@sbfx.com     828-485-4127AL – FL  – GA – MS – SC – NC (287,288,289)Tammy Burroughs   tburroughs@sbfx.com      828-485-4126Annette Parker        aparker@sbfx.com           828-485-4125AZ – CA – CT – DC – DE – M A – MD – NC (270-286) NJ – NM – PA – RI – VA – WV(249,254,262-68)Tammy Killian         tkillian@sbfx.com             828-485-4104Danielle Pope          dpope@sbfx.com               828-485-4171ID – OR – WA – CANADA AB –BCShelly Bridges        sbridges@sbfx.com            828-464-7240, ext 2249""3255 20th Ave SE P.O. Box 487 Hickory, NC 28603-0487 ","","","","https://tmw.sbfx.com/trace/trace.msw"
"RLM - Threshold","101","","","","","",""
"RLM - Powerhouse","102","","No location (freelancer) ","","","","n/a"
"RLM - Selected By Manufacturer","103","","","","","",""
"RLM - Ashley Freight","104","","Multiple Locations (Check Ashley Direct)","","","","https://www.ashleydirect.com/SiteHome/Forms/Home.aspx"
"RLM - Zenith","105","","","","","",""
"RLM - Deliveright Trailer","106","","","","","",""
"RLM -","107","","","","","",""
"RLM -","108","","","","","",""
"RLM -","109","","","","","",""
"RLM -","110","","","","","",""
"RLM -","111","","","","","",""
"RLM -","112","","","","","",""
"RLM -","113","","","","","",""
"RLM -","114","","","","","",""
"RLM -","115","","","","","",""
"RLM -","116","","","","","",""
"RLM -","117","","","","","",""
"RLM -","118","","","","","",""
"RLM -","119","","","","","",""
"RLM -","120","","","","","",""
"RLM - 1SB","121","00","Lorem ipsum dolor                     ","Pompano Beach","FL","33069","123-456-7890"
"RLM - Modway Home Delivery","122","","                    ","","","",""
"RLM - Deliveright CO","123","91","​6260 Washington Street
Unit 1","Denver ","CO","80216","41862-279-7332"
"RLM - iLog LLC","124","98","495 Fortune Blvd","MIDWAY","FL","32343","850-575-0017"
"RLM - Denver Hub","125","97","11220 E 53rd Ave
Suite 400","DENVER","CO","80239","303-373-2205"
"RLM - Miami Hub","126","99","2401 SW 34th Ave","PEMBROKE PARK","FL","33023","954-985-8735"
"RLM - New Latitude Moving","127","92","807 5th Ave N","BIRMINGHAM","AL","35203","205-945-4655"
"RLM - Los Angeles Hub","128","96","5461 Santa Ana St","ONTARIO","CA","91761","909-758-9386"
"RLM - Hackbarth Delivery Service","129","93","2000 E 17th St","LITTLE ROCK","AR","72202","501-508-2808"
"RLM - Phoenix Hub","130","94","3011 E Broadway Rd","Phoenix","AZ","85040","480-967-2058"
"RLM - San Francisco Hub","131","95","18551 Christopher Way","LATHROP","CA","95330","510-394-6500"
"RLM - Atlanta Hub","132","107","6376 Corley Rd","NORCROSS","GA","30071","770-246-7889"
"RLM - Specialized Distribution Solutions","133","133","3860 Broadway St","CHEEKTOWAGA","NY","14227","315-299-4453"
"RLM - Arnoff Moving and Storage","134","135","10 Stonebreak Rd","MALTA","NY","12020","518-463-5525"
"RLM - Express Save Industries","135","136","130 Falso Dr","SYRACUSE","NY","13211","315-454-5555"
"RLM - Norris Freight","136","147","4613 Broad St","LORIS","SC","29569","843-756-7782"
"RLM - Accent Moving & Storage","137","139","400 North Poplar Ave","BROKEN ARROW","OK","74012","918-251-5594"
"RLM - Baltimore Hub","138","119","6930 San Tomas Road","ELKRIDGE","MD","21075","410-712-7192"
"RLM - Boston Hub","139","118","150 Charles F Colton Rd
","TAUNTON","MA","02780","(508) 580-4697"
"RLM - CADDENS MOVING AND STORAGE","140","146","1106 Mid-Valley Drive","OLYPHANT","PA","18447","570-489-4005"
"RLM - Cardinal Messenger","141","159","1449 Miller Store Rd","VIRGINIA BEACH","VA","23455","757-271-6208"
"RLM - Cherokee Express Logistics","142","140","605 S. Oak St","TULSA","OK","74010","918-551-6048"
"RLM - Chicago Hub","143","109","2350 Prospect Dr","AURORA","IL","60502","630-851-8258"
"RLM - Cinpax Moving Solutions","144","128","1912 Cross Beam Drive
","CHARLOTTE","NC","28217","9809600170"
"RLM - Commercial Moving Services","145","164","800 Marshall Phelps Road","WINDSOR","CT","06095","(860) 298-7071"
"RLM - Cord Moving & Storage","146","148","3264 Democrat Rd","MEMPHIS","TN","38118","901-370-6400"
"RLM - Covan World Wide Moving","147","132","2191 Mendenhall Dr","N LAS VEGAS","NV","89081","702-649-7743"
"RLM - Dallas Hub","148","151","1100 N Royal Lane","Irving","TX","75063","469-242-7000"
"RLM - Detroit Hub","149","120","18640 Dix-Toledo Road","RIVERVIEW","MI","48193","734-282-5939"
"RLM - Liberty Transportation","150","143","2350 Eldo Rd
","MONROEVILLE ","PA","15146","412-229-8139"
"RLM - DZ Moving and Storage","151","114","2157 Watterson Trail","LOUISVILLE","KY","40299","502-224-0856"
"RLM - Elephant Moving & Storage","152","150","9226 Research Blvd","AUSTIN","TX","78757","512-442-6622"
"RLM - Ellis Moving and Storage","153","149","740 Hickory Industrial Drive","OLD HICKORY","TN","37138","615-541-2300"
"RLM - Faith Moving and Storage","154","152","3477 Lee Blvd","EL PASO","TX","79936","915-855-0413"
"RLM - Good Guys Moving&Delivery","155","145","2000 Stuart St","CHATTANOOGA","TN","37406","706-956-3335"
"RLM - Grand Rapids Hub","156","121","1050 36th St SE","WYOMING","MI","49508","616-261-1554"
"RLM - Hackbarth Delivery - LA","157","115","180 James Dr E","SAINT ROSE","LA","70087","504-466-2828"
"RLM - Harrisburg Logistics","158","144","2400 Gettysburg Rd 
","CAMP HILL","PA","17011","717-616-8004"
"RLM - Hot Shot Final Mile","159","153","12333 Sowden Rd","HOUSTON","TX","77080","713-869-7575"
"RLM - JW Logistics","160","158","540 Eastpark Ct STE A","Sandston","VA","23150","804-648-7874"
"RLM - Kansas City Hub","161","124","1545 Erie St","NORTH KANSAS CITY","MO","64116","816-285-0701"
"RLM Hackbarth","162","161","4210 1st Ave. Ste 300,306","Nitro","WV","25143","304-755-8591"
"RLM - Letter Ride Jackson","163","125","855 BOILING STREET","JACKSON","MS","39209","601-639-6994"
"RLM - Letter Ride Lafayette","164","116","5550 Cameron St","SCOTT","LA","70583","985-662-4324"
"RLM - Letter Ride Shreveport","165","117","121 Kansas City Ave","SHREVEPORT","LA","71107","318-347-7225"
"RLM - Minneapolis Hub","166","122","985 Aldrin Dr","SAINT PAUL","MN","55121","763-225-4139"
"RLM - Montana Air Cartage","167","126","5700 Titan Ave","BILLINGS","MT","59101","406-245-8622"
"RLM - MONTANA TRANSFER CO","168","127","209 COMMERCE ST","MISSOULA","MT","59808","406-728-8080"
"RLM - MOUNTAIN WEST MOVING","169","141","1315 Jefferson Ave","LA GRANDE","OR","97850","541-963-2331"
"RLM - Narrow Road Transportation","170","131","3201 University Blvd SE","ALBUQUERQUE","NM","87106","505-373-3000"
"RLM - Hackbarth Delivery - Tyler","171","156","1127 N NE 323 Loop
Suite 1007","TYLER","TX","75708","214-714-4400"
"RLM - Port Reading Hub","172","130","1115 W Middlesex Ave","PORT READING","NJ","07064","732-634-0439"
"RLM - Porter Moving Company","173","108","1151 26th Ave SW","CEDAR RAPIDS","IA","52404","319-364-4102"
"RLM - Portland Hub","174","142","4161 NE 189th Ave
","PORTLAND","OR","97230","503-285-6785"
"RLM - Price Coomer Relocation","175","113","132 Trade St","LEXINGTON","KY","40511","859-233-1538"
"RLM - Quality Experienced Moving LLC","176","137","4545 Groves Rd","COLUMBUS","OH","43232","614-694-0793"
"RLM - Redman Van & Storage","177","165","2589 South 2570 West","SALT LAKE CITY","UT","84119","801-972-4420"
"RLM - Salt Lake City Hub","178","157","4375 West 1980 South","SALT LAKE CITY","UT","84104","801-886-3353"
"RLM - Seattle Hub","179","160","4402 D St NW","AUBURN","WA","98001","253-850-5686"
"RLM - Select Van & Storage","180","163","8006 J ST","OMAHA","NE","68127","402-935-3719"
"RLM - Southern Transfer","181","129","3123 Cedar Park Rd","GREENSBORO","NC","27405","336-561-3729"
"RLM - St. Louis Hub","182","123","525 S McDonnell Blvd","HAZELWOOD","MO","63042","314-731-1349"
"RLM - Star Moving & Storage Co.","183","138","2701 BOBMEYER ROAD","FAIRFIELD","OH","45014","513-942-7400"
"RLM - Thomas Transfer and Storage","184","112","7701 E. Osie Street","WICHITA","KS","67207","316-686-1111"
"RLM - Waltco","185","110","408 S Madison St
","BLOOMINGTON","IL","61701","309-622-1900"
"RLM - Two Men and a Truck IN","186","111","1400 Teal Rd","LAFAYETTE","IN","47905","765-201-4834"
"RLM - Welch Transfer and Storage","187","155","203 W. WASHINGTON STREET","SAN ANGELO","TX","76901","325-655-3751"
"RLM - Wyoming Transfer & Storage LLC","188","162","330 S Spruce St","CASPER","WY","82601","307-234-2203"
"RLM - Hackbarth Delivery Service - TX","189","154","224 Buddy Holly Ave","LUBBOCK","TX","79401","(806) 632-3114"
"RLM - Andrews Moving & Storage","190","134","10235 Philipp Pkwy","STREETSBORO","OH","44241","(330) 656-8734"
"RLM - Tampa Hub","192","106","9110 King Palm Dr Ste 104","TAMPA","FL","33619","(813) 626-2527"
"RLM - iLog LLC","193","42","8760 Ely Rd","PENSACOLA","FL","32514","(850) 250-5727"
"RLM - Gofer Delivery","194","167","44 Interstate Blvd","ASHEVILLE","NC","28806","828-844-0028"
"RLM - Hackbarth Delivery Ama","195","166","1001 N Forest St","AMARILLO","TX","79106","(806) 381-3540"
"RLM - Boundless Moving","196","168","1510 Stuart Rd NE","CLEVELAND","TN","37312","(423) 763-1000"
"RLM - Hackbarth Delivery-Houst","197","169","1364 Salford Dr","HOUSTON","TX","77008","(281) 677-3166"
"RLM - Meme Logistics & Storage","198","170","5918 E 34th ST","INDIANAPOLIS","IN","46218","(317) 602-5176"
"RLM - Home Delivery Truck","199","","Manufacturer Home Delivery Truck","Home Delivery","NJ","07201",""
"RLM - Home Delivery Service","200","","Home Delivery Service","Staten Island","NY","07201",""
"RLM - Metropolitan","201","210","1050 Amboy Avenue","Perth Amboy","NJ","08861",""
